Year Type	Year	Organization Group Code	Organization_Group	Department Code	Department	Union Code	Union	Job Family Code	Job_Family	Job Code	Job	Employee Identifier	Salaries	Overtime	Other Salaries	Total Salary	Retirement	Health and Dental	Other Benefits	Total Benefits	Total
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8592630	48246.84	0	1677.78	49924.62	0	0	2783.54	2783.54	52708.16
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		535	"SEIU, Local 1021, Misc"	2900	Human Services	2904	Human Services Technician	8526829	20362.55	0	118.16	20480.71	4158.7	1268.46	1743.98	15435.7	35916.41
Calendar	2019	6	General Administration & Finance	HRD		790	"SEIU, Local 1021, Misc"	1200	Personnel	1227	Testing Technician	8546295	1137.68	0	0	1137.68	0	0	88.3	88.3	1225.98
Calendar	2019	6	General Administration & Finance	REG		21	"Prof & Tech Eng, Local 21"	1000	Information Systems	1062	IS Programmer Analyst	8517247	66386.82	0	0	66386.82	12691.1	8785.16	4993.09	40832.53	107219.35
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		253	"TWU, Local 250-A, TransitOpr"	9100	Street Transit	9163	Transit Operator	8533105	0	0	489.25	489.25	0	220.8	1863.3	8670.36	9159.61
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8517670	15261.3	0	282	15543.3	0	0	776.12	776.12	16319.42
Calendar	2019	1	Public Protection	POL		911	POA	Q000	Police Services	Q003	Police Officer 2	8576792	81894.79	4800.74	4229.22	90924.75	14992.68	4930.68	1546.04	35588.26	126513.01
Calendar	2019	1	Public Protection	POL		911	POA	Q000	Police Services	Q052	Sergeant 3	8557006	0	2219.26	0	2219.26	0	0	0	0	2219.26
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8592318	6443.44	0	0	6443.44	0	0	535.17	535.17	6978.61
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		253	"TWU, Local 250-A, TransitOpr"	9100	Street Transit	9163	Transit Operator	8499170	38948.15	8676.6	3390.97	51015.72	8024.9	4679.78	3981.98	27777.4	78793.12
Calendar	2019	5	Culture & Recreation	REC		790	"SEIU, Local 1021, Misc"	3200	Recreation	3208	Pool Lifeguard	8602292	1691.4	0	85.03	1776.43	0	0	144.21	144.21	1920.64
Calendar	2019	2	"Public Works, Transportation & Commerce"	PUC		38	"Plumbers, Local 38"	7300	Journeyman Trade	7388	Utility Plumber	8578811	44866.8	0	0	44866.8	11675.6	8785.12	5099.71	33123.13	77989.93
Calendar	2019	2	"Public Works, Transportation & Commerce"	AIR		790	"SEIU, Local 1021, Misc"	3500	Museum & Cultural Affairs	3520	Museum Preparator	8602490	13635.28	0	600	14235.28	0	0	1058.31	1058.31	15293.59
Calendar	2019	4	Community Health	DPH		250	"SEIU, Local 1021, Misc"	2300	Nursing	2303	Patient Care Assistant	8509985	59114	0	0	59114	11300.82	8785.14	4843.44	38755.86	97869.86
Calendar	2019	4	Community Health	DPH		535	"SEIU, Local 1021, Misc"	2900	Human Services	2903	Hospital Eligibility Worker	8560860	25333.9	0	422.5	25756.4	1956.68	0	2133.62	4090.3	29846.7
Calendar	2019	1	Public Protection	POL		790	"SEIU, Local 1021, Misc"	9200	Airport Operation	9209	Community Police Services Aide	8493937	58115.21	6023.61	4711.81	68850.63	12010.44	8666.96	5587.74	40129.66	108980.29
Calendar	2019	5	Culture & Recreation	REC		790	"SEIU, Local 1021, Misc"	3200	Recreation	3279	Recreation Leader	8583619	496.15	0	4.85	501	0	0	38.88	38.88	539.88
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		253	"TWU, Local 250-A, TransitOpr"	9100	Street Transit	9163	Transit Operator	8599797	61667.61	18716.02	3944.99	84328.62	12451.38	9375.8	6311.98	43590.34	127918.96
Calendar	2019	2	"Public Works, Transportation & Commerce"	DBI		790	"SEIU, Local 1021, Misc"	6300	Construction Inspection	6321	Permit Technician I	8551136	0	0	989.89	989.89	0	0	75.72	75.72	1065.61
Calendar	2019	1	Public Protection	FIR		798	"Firefighters,Local 798, Unit 1"	H000	Fire Services	H002	Firefighter	8519863	71277.59	0	11127.2	82404.79	14510.96	10439.1	1464.52	37504.68	119909.47
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8527697	2251.87	0	294.12	2545.99	0	0	172.97	172.97	2718.96
Calendar	2019	6	General Administration & Finance	CON		21	"Prof & Tech Eng, Local 21"	1000	Information Systems	1070	IS Project Director	9500152	53915.58	0	0	53915.58	10039.09	8785.1	4272.58	24303.83	78219.41
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		261	"Laborers, Local 261"	9900	Public Service Aide	9916	Public Svc Aide-Public Works	8562932	359.78	0	0	359.78	0	0	583.35	583.35	943.13
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		21	"Prof & Tech Eng, Local 21"	6300	Construction Inspection	6319	Senior Const Inspector	8595714	0	0	24195	24195	0	0	1850.92	1850.92	26045.92
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		790	"SEIU, Local 1021, Misc"	9900	Public Service Aide	9910	Public Service Trainee	10160161	1682.1	0	0	1682.1	0	0	130.55	130.55	1812.65
Calendar	2019	1	Public Protection	SHF		498	Deputy Sheriffs' Assoc (DSA)	8300	Correction & Detention	8304	Deputy Sheriff	8535480	83622.69	11127.11	7321.95	102071.75	30746.35	8534.02	1690.54	54819.03	156890.78
Calendar	2019	5	Culture & Recreation	REC		790	"SEIU, Local 1021, Misc"	3200	Recreation	3279	Recreation Leader	8503311	8572.33	0	97.2	8669.53	0	0	672.9	672.9	9342.43
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		253	"TWU, Local 250-A, TransitOpr"	9100	Street Transit	9163	Transit Operator	8547520	61684.86	11948.88	3847.94	77481.68	12362.36	9375.82	5992.97	43167.95	120649.63
Calendar	2019	5	Culture & Recreation	REC		790	"SEIU, Local 1021, Misc"	3200	Recreation	3209	Swimming Instructor	8601655	1802	0	0	1802	0	0	139.86	139.86	1941.86
Calendar	2019	1	Public Protection	DAT		790	"SEIU, Local 1021, Misc"	8100	Legal & Court	8129	Victim/Witness Investigator 1	9090184	40222.73	0	0	40222.73	7686.57	8622.68	2907.54	26425.45	66648.18
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8495858	47327.45	0	1704.02	49031.47	0	0	2327.78	2327.78	51359.25
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		253	"TWU, Local 250-A, TransitOpr"	9100	Street Transit	9163	Transit Operator	8499368	51671.2	5074.81	766.32	57512.33	10449.92	9375.82	4381.9	39285.8	96798.13
Calendar	2019	5	Culture & Recreation	REC		790	"SEIU, Local 1021, Misc"	3200	Recreation	3279	Recreation Leader	8508416	1633.5	0	0	1633.5	0	0	127.04	127.04	1760.54
Calendar	2019	1	Public Protection	POL		911	POA	Q000	Police Services	Q004	Police Officer 3	8560842	87262.88	9055.53	3653.78	99972.19	16541.39	8785.12	1755.04	39313.67	139285.86
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		261	"Laborers, Local 261"	9900	Public Service Aide	9916	Public Svc Aide-Public Works	9460159	6557.08	0	0	6557.08	0	0	532.45	532.45	7089.53
Calendar	2019	2	"Public Works, Transportation & Commerce"	AIR		21	"Prof & Tech Eng, Local 21"	9200	Airport Operation	9206	Airport Property Specialist 1	8495922	90808.04	0	0	90808.04	17359.56	8799.96	7417.78	47983.12	138791.16
Calendar	2019	5	Culture & Recreation	REC		790	"SEIU, Local 1021, Misc"	3200	Recreation	3279	Recreation Leader	8605037	319.3	0	16.75	336.05	0	0	26.09	26.09	362.14
Calendar	2019	6	General Administration & Finance	ADM		790	"SEIU, Local 1021, Misc"	1300	Pub Relations & Spec Assts	1324	Customer Service Agent	8516127	25203.98	417.88	837.74	26459.6	2122.63	5028.74	2045.63	8827.46	35287.06
Calendar	2019	1	Public Protection	FIR		798	"Firefighters,Local 798, Unit 1"	H000	Fire Services	H003	EMT/Paramedic/Firefighter	8547869	96206.37	4087.42	456.63	100750.42	17943.77	8844.16	1686.78	43438.89	144189.31
Calendar	2019	6	General Administration & Finance	ADM		261	"Laborers, Local 261"	7500	Semi-Skilled & General Labor	7514	General Laborer	8551427	46180.73	3217.04	0	49397.77	8828.19	8607.94	3916	35261.35	84659.12
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		253	"TWU, Local 250-A, TransitOpr"	9100	Street Transit	9163	Transit Operator	8515925	0	0	10075.25	10075.25	0	0	770.76	770.76	10846.01
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		790	"SEIU, Local 1021, Misc"	8200	Protection & Apprehension	8214	Parking Control Officer	8577364	54185.01	3569.55	1581.33	59335.89	10616.75	8785.12	4860.78	38625.29	97961.18
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	2325	Nurse Midwife	8532604	29071.25	0	3298.05	32369.3	0	0	2512.38	2512.38	34881.68
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		535	"SEIU, Local 1021, Misc"	2900	Human Services	2904	Human Services Technician	8549146	56478	14388.23	1574.01	72440.24	11097.74	8785.12	5861.75	40150.91	112591.15
Calendar	2019	2	"Public Works, Transportation & Commerce"	DPW		6	"Electrical Workers, Local 6"	7300	Journeyman Trade	7345	Electrician	8569792	0	0	0	0	0	0	0	0	0
Calendar	2019	4	Community Health	DPH		790	"SEIU, Local 1021, Misc"	2900	Human Services	2920	Medical Social Worker	8517742	68588.21	0	800	69388.21	13264.6	8785.16	5633.89	42089.87	111478.08
Calendar	2019	4	Community Health	DPH		790	"SEIU, Local 1021, Misc"	2500	Med Therapy & Auxiliary	2587	Health Worker 3	8513136	37752	0	0	37752	7214.35	8785.12	3102.19	25390.92	63142.92
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8507882	1930.17	0	45.97	1976.14	0	0	149.66	149.66	2125.8
Calendar	2019	2	"Public Works, Transportation & Commerce"	AIR		21	"Prof & Tech Eng, Local 21"	5200	Professional Engineering	5241	Engineer	8587014	143731.43	0	0	143731.43	26771.2	8785.14	7414.85	53347.97	197079.4
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8567317	28984.44	0	689.59	29674.03	0	0	582.34	582.34	30256.37
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	2320	Registered Nurse	8596958	121087.19	341.27	9574.05	131002.51	24293.95	8799.9	7557.67	55043.02	186045.53
Calendar	2019	5	Culture & Recreation	REC		790	"SEIU, Local 1021, Misc"	3200	Recreation	3279	Recreation Leader	8760071	7615.66	0	221.68	7837.34	0	0	608.3	608.3	8445.64
Calendar	2019	5	Culture & Recreation	REC		21	"Prof & Tech Eng, Local 21"	5500	Construction Project Mgmt	5504	Project Manager 2	8602243	102604.16	0	0	102604.16	20425.11	8430.7	7557.05	46022.18	148626.34
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8518212	8132.76	0	872.97	9005.73	0	0	519.11	519.11	9524.84
Calendar	2019	4	Community Health	DPH		250	"SEIU, Local 1021, Misc"	2700	Housekeeping & Laundry	2736	Porter	8503243	46485.2	16729.01	2326.23	65540.44	10976.77	8785.1	5301.25	39469.42	105009.86
Calendar	2019	4	Community Health	DPH		250	"SEIU, Local 1021, Misc"	2300	Nursing	2303	Patient Care Assistant	8532487	4764	0	0	4764	0	0	369.77	369.77	5133.77
Calendar	2019	2	"Public Works, Transportation & Commerce"	AIR		21	"Prof & Tech Eng, Local 21"	9200	Airport Operation	9255	Airport Economic Planner	8587164	38864.95	0	0	38864.95	0	0	3016.55	3016.55	41881.5
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	2328	Nurse Practitioner	8820013	28636.25	0	0	28636.25	0	0	2236.98	2236.98	30873.23
Calendar	2019	4	Community Health	DPH		250	"SEIU, Local 1021, Misc"	2600	Dietary & Food	2604	Food Service Worker	8534630	5266.93	2392.39	127.04	7786.36	1498.06	1224.16	753.3	6605.12	14391.48
Calendar	2019	1	Public Protection	FIR		798	"Firefighters,Local 798, Unit 1"	H000	Fire Services	H008	EMT Paramedic	8548318	10730.43	36.07	197.66	10964.16	0	0	894.01	894.01	11858.17
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		253	"TWU, Local 250-A, TransitOpr"	9100	Street Transit	9163	Transit Operator	8524667	29364.76	3019.29	2666.44	34868.79	7023.79	0	2705.22	9729.01	44597.8
Calendar	2019	1	Public Protection	FIR		798	"Firefighters,Local 798, Unit 1"	H000	Fire Services	H002	Firefighter	8557160	0	0	4808.77	4808.77	0	0	0	0	4808.77
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		253	"TWU, Local 250-A, TransitOpr"	9100	Street Transit	9163	Transit Operator	9140168	15171.05	2123.79	1358.89	18653.73	3629.5	9080.44	1406.16	14758.86	33412.59
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8534758	8430.97	0	0	8430.97	0	0	646.72	646.72	9077.69
Calendar	2019	4	Community Health	DPH		790	"SEIU, Local 1021, Misc"	6200	Public Safety Inspection	6220	"Inspector, Weights & Measures"	8566159	58155	0	1240	59395	11354.37	8785.12	4576.04	39121.79	98516.79
Calendar	2019	2	"Public Works, Transportation & Commerce"	AIR		790	"SEIU, Local 1021, Misc"	3500	Museum & Cultural Affairs	3520	Museum Preparator	8602485	16607.4	0	0	16607.4	0	0	1289	1289	17896.4
Calendar	2019	4	Community Health	DPH		250	"SEIU, Local 1021, Misc"	2300	Nursing	2302	Nursing Assistant	8525189	16616.41	0	3599.89	20216.3	9111.99	2612.32	4692.66	30884.21	51100.51
Calendar	2019	5	Culture & Recreation	REC		790	"SEIU, Local 1021, Misc"	3200	Recreation	3209	Swimming Instructor	8601781	3585.98	0	55.63	3641.61	0	0	282.65	282.65	3924.26
Calendar	2019	4	Community Health	DPH		858	"Teamsters, Local 856, Spv RN"	2300	Nursing	2322	Nurse Manager	8603692	144994.8	0	21749.22	166744.02	31055.01	8785.08	8242.81	62039.74	228783.76
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	9460138	551.48	0	110.3	661.78	0	0	31.1	31.1	692.88
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8583597	1248.62	0	0	1248.62	0	0	74.33	74.33	1322.95
Calendar	2019	5	Culture & Recreation	REC		790	"SEIU, Local 1021, Misc"	3200	Recreation	3279	Recreation Leader	8604909	18888.68	0	231.12	19119.8	0	0	1486.68	1486.68	20606.48
Calendar	2019	4	Community Health	DPH		251	"TWU, Local 250-A, Misc"	6100	Health & Sanitation Inspection	6120	Environmental Health Inspector	8517735	84175.44	0	0	84175.44	16091.47	8785.1	6621.91	45861.78	130037.22
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	10060142	1039.92	0	61.17	1101.09	0	0	83.35	83.35	1184.44
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		21	"Prof & Tech Eng, Local 21"	7400	Skilled Labor	7457	Sign Worker	8599755	45496.52	0	0	45496.52	8672.36	8785.16	3695.68	32370.26	77866.78
Calendar	2019	2	"Public Works, Transportation & Commerce"	PUC		790	"SEIU, Local 1021, Misc"	7500	Semi-Skilled & General Labor	7542	Watershed Worker (Seasonal)	8524379	18959.4	0	0	18959.4	0	0	1471.55	1471.55	20430.95
Calendar	2019	3	Human Welfare & Neighborhood Development	CSS		790	"SEIU, Local 1021, Misc"	1400	"Clerical, Secretarial & Steno"	1426	Senior Clerk Typist	8605730	47045.26	0	424.06	47469.32	9075.04	6038.34	3881.73	33479.67	80948.99
Calendar	2019	1	Public Protection	POL		911	POA	Q000	Police Services	Q004	Police Officer 3	8507152	99705.14	35957.73	2828.18	138491.05	18607.78	8637.44	2349.47	43861.71	182352.76
Calendar	2019	5	Culture & Recreation	REC		790	"SEIU, Local 1021, Misc"	3200	Recreation	3279	Recreation Leader	8604778	3996.17	0	72.96	4069.13	0	0	315.84	315.84	4384.97
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		39	"Stationary Engineers, Local 39"	7300	Journeyman Trade	7334	Stationary Engineer	8515173	57330	30786.35	7982.25	96098.6	11938.93	8785.12	6933.12	38584.73	134683.33
Calendar	2019	5	Culture & Recreation	REC		790	"SEIU, Local 1021, Misc"	3200	Recreation	3279	Recreation Leader	8514326	3478.5	0	18.36	3496.86	0	0	271.4	271.4	3768.26
Calendar	2019	4	Community Health	DPH		858	"Teamsters, Local 856, Spv RN"	2300	Nursing	2324	Nursing Supervisor	8532404	1939.99	14403.41	113.98	16457.38	382.62	0	474.45	857.07	17314.45
Calendar	2019	6	General Administration & Finance	CON		21	"Prof & Tech Eng, Local 21"	1000	Information Systems	1053	IS Business Analyst-Senior	8546524	70104.89	0	0	70104.89	13397.04	8785.08	5472.46	39422.9	109527.79
Calendar	2019	4	Community Health	DPH		39	"Stationary Engineers, Local 39"	7300	Journeyman Trade	7334	Stationary Engineer	8513450	1515.94	0	0	1515.94	0	0	117.73	117.73	1633.67
Calendar	2019	1	Public Protection	SHF		498	Deputy Sheriffs' Assoc (DSA)	8300	Correction & Detention	8504	Deputy Sheriff (SFERS)	8526611	75083.51	39256.52	10290.24	124630.27	16483.25	8785.14	2099.97	41774.64	166404.91
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		790	"SEIU, Local 1021, Misc"	1800	"Budget, Admn & Stats Analysis"	1820	Junior Administrative Analyst	8526637	45641.05	0	0	45641.05	8725.19	8681.78	3300.2	33222.53	78863.58
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8592110	1460.31	0	0	1460.31	0	0	105.09	105.09	1565.4
Calendar	2019	3	Human Welfare & Neighborhood Development	HOM		351	"Municipal Exec Assoc, Misc"	900	Management	922	Manager I	8551135	95869.59	0	0	95869.59	15221.09	8785.1	14499.98	52912.47	148782.06
Calendar	2019	6	General Administration & Finance	RET		351	"Municipal Exec Assoc, Misc"	900	Management	922	Manager I	8544177	108299	0	0	108299	20172.67	8785.12	14792.06	58156.13	166455.13
Calendar	2019	1	Public Protection	FIR		798	"Firefighters,Local 798, Unit 1"	H000	Fire Services	H008	EMT Paramedic	10200166	4940.73	0	0	4940.73	0	0	383.48	383.48	5324.21
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		790	"SEIU, Local 1021, Misc"	9100	Street Transit	9110	Fare Collections Receiver	8549228	54173.1	6912.72	480	61565.82	10448.3	8785.12	5124.02	38763.72	100329.54
Calendar	2019	1	Public Protection	FIR		798	"Firefighters,Local 798, Unit 1"	H000	Fire Services	H008	EMT Paramedic	10200163	4571.33	0	0	4571.33	0	0	354.81	354.81	4926.14
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8508069	32527.22	1517.07	1038.05	35082.34	0	0	2872.67	2872.67	37955.01
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		790	"SEIU, Local 1021, Misc"	9900	Public Service Aide	9910	Public Service Trainee	8569200	5139.75	0	0	5139.75	0	5388.6	411.97	5365.99	10505.74
Calendar	2019	5	Culture & Recreation	REC		790	"SEIU, Local 1021, Misc"	3200	Recreation	3279	Recreation Leader	8543365	10588.59	0	169.39	10757.98	0	0	834.98	834.98	11592.96
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		261	"Laborers, Local 261"	9900	Public Service Aide	9916	Public Svc Aide-Public Works	8578113	5269.19	0	0	5269.19	0	0	424.66	424.66	5693.85
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		790	"SEIU, Local 1021, Misc"	8200	Protection & Apprehension	8214	Parking Control Officer	8570314	46020.91	14777.4	3250.93	64049.24	9847.2	8785.14	5169.03	38107.19	102156.43
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	10100184	8305.2	0	1384.21	9689.41	0	0	752.06	752.06	10441.47
Calendar	2019	2	"Public Works, Transportation & Commerce"	AIR		790	"SEIU, Local 1021, Misc"	9200	Airport Operation	9234	Airport Security ID Technician	8507596	30505.41	0	0	30505.41	7055.67	1255.02	2564.6	25825.51	56330.92
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8542717	7507.8	0	801.15	8308.95	0	0	662.18	662.18	8971.13
Calendar	2019	5	Culture & Recreation	REC		790	"SEIU, Local 1021, Misc"	3200	Recreation	3278	Recreation Facility Assistant	8601763	9039.73	0	394	9433.73	0	0	732.2	732.2	10165.93
Calendar	2019	6	General Administration & Finance	ADM		22	"Prof & Tech Eng, Local 21"	1200	Personnel	1244	Senior Human Resources Analyst	8493126	0	0	744.61	744.61	0	0	56.97	56.97	801.58
Calendar	2019	4	Community Health	DPH		250	"SEIU, Local 1021, Misc"	2400	"Lab, Pharmacy & Med Techs"	2430	Medical Evaluations Assistant	9960162	12276	0	0	12276	2759.63	7013.02	982.87	10291.34	22567.34
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		261	"Laborers, Local 261"	9900	Public Service Aide	9916	Public Svc Aide-Public Works	8565045	15495.27	0	443.9	15939.17	825.07	0	1307.46	2132.53	18071.7
Calendar	2019	1	Public Protection	SHF		498	Deputy Sheriffs' Assoc (DSA)	8300	Correction & Detention	8304	Deputy Sheriff	8586632	83526.08	369.38	10137.79	94033.25	29684.29	8770.34	1566.08	53847.67	147880.92
Calendar	2019	1	Public Protection	POL		911	POA	Q000	Police Services	Q062	Lieutenant 3	8561053	0	1262.89	0	1262.89	0	0	0	0	1262.89
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		21	"Prof & Tech Eng, Local 21"	4200	Appraisal & Taxation	4230	Estate Investigator	8555449	26185.23	0	0	26185.23	5354.09	8593.16	2221.66	15854.65	42039.88
Calendar	2019	1	Public Protection	JUV		790	"SEIU, Local 1021, Misc"	8300	Correction & Detention	8320	"Counselor, Juvenile Hall PERS"	8592930	4317.6	172.65	420.98	4911.23	0	0	386.05	386.05	5297.28
Calendar	2019	5	Culture & Recreation	LIB		790	"SEIU, Local 1021, Misc"	3600	Library	3602	Library Page	9230154	11326.63	0	187.84	11514.47	2588.47	0	935.94	3524.41	15038.88
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8592090	6774.59	0	0	6774.59	1273.84	0	557.93	1831.77	8606.36
Calendar	2019	4	Community Health	DPH		250	"SEIU, Local 1021, Misc"	1400	"Clerical, Secretarial & Steno"	1428	Unit Clerk	8559103	41096.28	405	0	41501.28	7856.04	8785.14	3108.63	27972.51	69473.79
Calendar	2019	6	General Administration & Finance	ADM		22	"Prof & Tech Eng, Local 21"	1200	Personnel	1241	Human Resources Analyst	8527411	1307.78	0	0	1307.78	0	0	102.79	102.79	1410.57
Calendar	2019	5	Culture & Recreation	REC		790	"SEIU, Local 1021, Misc"	3200	Recreation	3279	Recreation Leader	8571613	10567.07	0	117.44	10684.51	0	0	829.29	829.29	11513.8
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8592494	4086.35	0	0	4086.35	0	0	317.47	317.47	4403.82
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		535	"SEIU, Local 1021, Misc"	2900	Human Services	2917	Program Support Analyst	8503554	54440.35	0	0	54440.35	10406.29	7529.9	4113.1	28571.73	83012.08
Calendar	2019	5	Culture & Recreation	REC		790	"SEIU, Local 1021, Misc"	3200	Recreation	3279	Recreation Leader	8578901	4839.13	0	5.4	4844.53	0	0	380.94	380.94	5225.47
Calendar	2019	1	Public Protection	FIR		798	"Firefighters,Local 798, Unit 1"	H000	Fire Services	H030	"Captain, Fire Suppression"	8548394	124970.63	4900.82	15533.36	145404.81	25499.9	10793.52	2434.57	56405.59	201810.4
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8513437	4028.5	1510.69	986.99	6526.18	0	0	624.66	624.66	7150.84
Calendar	2019	4	Community Health	DPH		535	"SEIU, Local 1021, Misc"	2900	Human Services	2908	Sen Hospital Eligibility Wrkr	8559978	66297.74	8800.86	1358.67	76457.27	12933.63	8755.58	6515.37	42568.7	119025.97
